ord,request,window,request_in_window,kind,campaign_id,bid_value
189,63,207,0,bid,1,10
190,63,207,0,bid,2,11
191,63,207,0,win,2,10
192,64,208,0,bid,1,10
193,64,208,0,bid,2,11
194,64,208,0,win,2,10
195,65,209,0,bid,1,10
196,65,209,0,bid,2,11
197,65,209,0,win,2,10
198,66,210,0,bid,1,10
199,66,210,0,bid,2,11
200,66,210,0,win,2,10
201,67,211,0,bid,1,10
202,67,211,0,bid,2,11
203,67,211,0,win,2,10
204,68,212,0,bid,1,10
205,68,212,0,bid,2,11
206,68,212,0,win,2,10
207,69,213,0,bid,1,10
208,69,213,0,bid,2,11
209,69,213,0,win,2,10
210,70,214,0,bid,1,10
211,70,214,0,bid,2,11
212,70,214,0,win,2,10
213,71,215,0,bid,1,10
214,71,215,0,bid,2,11
215,71,215,0,win,2,10
216,72,216,0,bid,1,10
217,72,216,0,bid,2,11
218,72,216,0,win,2,10
219,73,217,0,bid,1,10
220,73,217,0,bid,2,11
221,73,217,0,win,2,10
222,74,218,0,bid,1,10
223,74,218,0,bid,2,11
224,74,218,0,win,2,10
225,75,219,0,bid,1,10
226,75,219,0,bid,2,11
227,75,219,0,win,2,10
228,76,220,0,bid,1,10
229,76,220,0,bid,2,11
230,76,220,0,win,2,10
231,77,221,0,bid,1,10
232,77,221,0,bid,2,11
233,77,221,0,win,2,10
234,78,222,0,bid,1,10
235,78,222,0,bid,2,11
236,78,222,0,win,2,10
237,79,223,0,bid,1,10
238,79,223,0,bid,2,11
239,79,223,0,win,2,10
240,80,224,0,bid,1,10
241,80,224,0,bid,2,11
242,80,224,0,win,2,10
243,81,225,0,bid,1,10
244,81,225,0,bid,2,11
245,81,225,0,win,2,10
246,82,226,0,bid,1,10
247,82,226,0,bid,2,11
248,82,226,0,win,2,10
249,83,227,0,bid,1,10
250,83,227,0,bid,2,11
251,83,227,0,win,2,10
252,84,228,0,bid,1,10
253,84,228,0,bid,2,11
254,84,228,0,win,2,10
255,85,229,0,bid,1,10
256,85,229,0,bid,2,11
257,85,229,0,win,2,10
258,86,230,0,bid,1,10
259,86,230,0,bid,2,11
260,86,230,0,win,2,10
261,87,231,0,bid,1,10
262,87,231,0,bid,2,11
263,87,231,0,win,2,10
264,88,232,0,bid,1,10
265,88,232,0,bid,2,11
266,88,232,0,win,2,10
267,89,233,0,bid,1,10
268,89,233,0,bid,2,11
269,89,233,0,win,2,10
270,90,234,0,bid,1,10
271,90,234,0,bid,2,11
272,90,234,0,win,2,10
273,91,235,0,bid,1,10
274,91,235,0,bid,2,11
275,91,235,0,win,2,10
276,92,236,0,bid,1,10
277,92,236,0,bid,2,11
278,92,236,0,win,2,10
279,93,237,0,bid,1,10
280,93,237,0,bid,2,11
281,93,237,0,win,2,10
282,94,238,0,bid,1,10
283,94,238,0,bid,2,11
284,94,238,0,win,2,10
285,95,239,0,bid,1,10
286,95,239,0,bid,2,11
287,95,239,0,win,2,10
288,96,240,0,bid,1,10
289,96,240,0,bid,2,11
290,96,240,0,win,2,10
291,97,241,0,bid,1,10
292,97,241,0,bid,2,11
293,97,241,0,win,2,10
294,98,242,0,bid,1,10
295,98,242,0,bid,2,11
296,98,242,0,win,2,10
297,99,243,0,bid,1,10
298,99,243,0,bid,2,11
299,99,243,0,win,2,10
300,100,244,0,bid,1,10
301,100,244,0,bid,2,11
302,100,244,0,win,2,10
303,101,245,0,bid,1,10
304,101,245,0,bid,2,11
305,101,245,0,win,2,10
306,102,246,0,bid,1,10
307,102,246,0,bid,2,11
308,102,246,0,win,2,10
309,103,247,0,bid,1,10
310,103,247,0,bid,2,11
311,103,247,0,win,2,10
